age,value,parameterType,sex,order,description
18-29 años,15.057,TMB,Masculino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para hombres de entre 18 y 29 años
18-29 años,692.2,TMB,Masculino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para hombres de entre 18 y 29 años
30-59 años,11.472,TMB,Masculino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para hombres de entre 30 y 59 años
30-59 años,873.1,TMB,Masculino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para hombres de entre 30 y 59 años
60+ años,11.711,TMB,Masculino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para hombres de más de 60 años
60+ años,587.7,TMB,Masculino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para hombres de más de 60 años
18-29 años,14.818,TMB,Femenino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de entre 18 y 29 años
18-29 años,486.6,TMB,Femenino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de entre 18 y 29 años
30-59 años,8.126,TMB,Femenino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de entre 30 y 59 años
30-59 años,845.6,TMB,Femenino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de entre 30 y 59 años
60+ años,9.082,TMB,Femenino,0,Primer parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de más de 60 años
60+ años,658.5,TMB,Femenino,1,Segundo parámetro para el cálculo de la Tasa Metabólica Basal para mujeres de más de 60 años
0 meses,211,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 0 meses
1 meses,183,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 1 mes
2 meses,139,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 2 meses
3 meses,53,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 3 meses
4 meses,46,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 4 meses
5 meses,36,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 5 meses
6 meses,17,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 6 meses
7 meses,16,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 7 meses
8 meses,14,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 8 meses
9 meses,21,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 9 meses
10 meses,21,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 10 meses
11 meses,22,Energia para crecimiento,Masculino,2,Energía para el crecimiento para hombres de 11 meses
1 años,13,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 1 año
2 años,12,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 2 años
3 años,12,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 3 años
4 años,11,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 4 años
5 años,11,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 5 años
6 años,12,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 6 años
7 años,14,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 7 años
8 años,16,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 8 años
9 años,19,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 9 años
10 años,22,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 10 años
11 años,25,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 11 años
12 años,29,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 12 años
13 años,33,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 13 años
14 años,33,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 14 años
15 años,31,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 15 años
16 años,24,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 16 años
17 años,14,Energia para crecimiento,Masculino,3,Energía para el crecimiento para hombres de 17 años
0 meses,178,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 0 meses
1 meses,161,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 1 mes
2 meses,134,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 2 meses
3 meses,68,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 3 meses
4 meses,57,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 4 meses
5 meses,47,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 5 meses
6 meses,20,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 6 meses
7 meses,17,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 7 meses
8 meses,15,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 8 meses
9 meses,18,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 9 meses
10 meses,15,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 10 meses
11 meses,14,Energia para crecimiento,Femenino,2,Energía para el crecimiento para mujeres de 11 meses
1 años,13,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 1 año
2 años,13,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 2 años
3 años,11,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 3 años
4 años,10,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 4 años
5 años,10,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 5 años
6 años,13,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 6 años
7 años,17,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 7 años
8 años,20,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 8 años
9 años,23,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 9 años
10 años,25,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 10 años
11 años,25,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 11 años
12 años,26,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 12 años
13 años,24,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 13 años
14 años,19,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 14 años
15 años,13,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 15 años
16 años,5,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 16 años
17 años,0,Energia para crecimiento,Femenino,3,Energía para el crecimiento para mujeres de 17 años
0 meses,-152,GET,Masculino,0,Primer parámetro para el cálculo del Gasto Energético Total para hombres de 0 meses
0 meses,92.8,GET,Masculino,1,Segundo parámetro para el cálculo del Gasto Energético Total para hombres de 0 meses
1 meses,-152,GET,Masculino,0,Primer parámetro para el cálculo del Gasto Energético Total para hombres de 1 mes
1 meses,92.8,GET,Masculino,1,Segundo parámetro para el cálculo del Gasto Energético Total para hombres de 1 mes
2 meses,-152,GET,Masculino,0,Primer parámetro para el cálculo del Gasto Energético Total para hombres de 2 meses
2 meses,92.8,GET,Masculino,1,Segundo parámetro para el cálculo del Gasto Energético Total para hombres de 2 meses
3 meses,-152,GET,Masculino,0,Primer parámetro para el cálculo del Gasto Energético Total para hombres de 3 meses
3 meses,92.8,GET,Masculino,1,Segundo parámetro para el cálculo del Gasto Energético Total para hombres de 3 meses
4 meses,-152,GET,Masculino,0,Primer parámetro para el cálculo del Gasto Energético Total para hombres de 4 meses
4 meses,92.8,GET,Masculino,1,Segundo parámetro para el cálculo del Gasto Energético Total para hombres de 4 meses
